t,ABS_RX,ABS_RY,ABS_RZ,ABS_X,ABS_Y,ABS_Z
1654431144.8796346,126,125,0,136,0,22
1654431144.9235232,126,126,0,136,0,24
1654431144.9595494,126,126,0,135,0,30
1654431144.9956129,126,126,0,136,0,36
1654431145.0315678,126,126,0,135,0,42
1654431145.067565,127,125,0,136,0,49
1654431145.1036494,126,125,0,136,0,58
1654431145.1395862,126,126,0,135,0,62
1654431145.1756232,126,126,0,136,0,66
1654431145.211628,127,126,0,136,0,69
1654431145.247592,127,125,0,136,0,74
1654431145.2835915,127,125,0,136,0,79
1654431145.319601,126,126,0,136,0,84
1654431145.3556483,125,126,0,136,0,101
1654431145.3915899,127,127,0,136,0,114
1654431145.4278212,126,126,0,135,0,121
1654431145.463641,128,126,0,136,0,127
1654431145.4996526,127,125,0,136,0,141
1654431145.539542,126,125,0,136,0,154
1654431145.5756176,126,126,0,135,0,159
1654431145.6117136,127,126,0,136,0,169
1654431145.6476104,126,126,0,136,0,184
1654431145.6835773,127,126,0,135,0,192
1654431145.7196717,126,125,0,136,0,201
1654431145.75562,126,126,0,136,0,214
1654431145.7957122,126,126,0,136,0,225
1654431145.8317156,127,126,0,135,0,233
1654431145.8677773,126,126,0,136,0,255
1654431145.9036813,126,126,0,136,0,255
1654431145.9396732,126,126,0,136,0,255
1654431145.9756277,126,126,0,136,0,255
1654431146.0116904,127,126,0,135,0,255
1654431146.047684,127,126,0,135,0,255
1654431146.0876987,126,126,0,136,0,255
1654431146.1237276,127,126,0,137,0,255
1654431146.159693,126,126,0,136,0,255
1654431146.1959767,125,126,0,136,0,255
1654431146.2317345,127,126,0,136,0,255
1654431146.2676709,126,127,0,136,0,255
1654431146.3037777,126,126,0,136,0,255
1654431146.3397892,127,125,0,136,0,255
1654431146.37572,125,126,0,136,0,255
1654431146.4156313,126,126,0,137,0,255
1654431146.4516273,126,126,0,135,0,255
1654431146.4875925,126,126,0,135,0,255
1654431146.5236409,126,126,0,136,0,255
1654431146.55962,127,126,0,136,0,255
1654431146.5997603,126,126,0,137,0,255
1654431146.6356843,126,126,0,136,0,255
1654431146.6717088,126,126,0,136,0,255
1654431146.7078092,127,126,0,135,0,255
